Chatflow,Fecha,Pregunta del usuario,Respuesta del bot,clasificacion_nueva,motivo
Xerena,2026-05-20,cuanto depas tiene todo el desarrollo?,"No cuento con información confirmada sobre el número total de departamentos que tiene todo el desarrollo Xerena Cabo Tezal. La información está sujeta a actualización y puede variar dependiendo de la etapa del proyecto.
...",descartar,respuesta_parcial_util
Xerena,2026-05-20,cuando terminan los depas,No cuento con información confirmada sobre la fecha exacta de entrega o finalización de los departamentos en Xerena Cabo Tezal. La información sobre fechas de entrega puede variar dependiendo de la etapa del proyecto y e...,descartar,dato_dinamico_comercial
Volterra,2026-05-31, Cuanto valen los mas chicos,"No tengo información confirmada sobre el precio de los departamentos más chicos en Volterra. La información disponible solo menciona el precio de los departamentos más grandes.

Si quieres, puedo ponerte en contacto con ...",mantener_brecha,brecha_accionable
Volterra,2026-06-01,Y ubicacion estacionamientos,"Cada departamento en Volterra cuenta con 2 cajones de estacionamiento. No se especifica la ubicación exacta de los cajones (por ejemplo, si son techados, subterráneos o asignados por número). Para ese detalle específico,...",descartar,respuesta_parcial_util
Quivira,2026-05-29,me gusta correr maratones,"¡Te va a encantar Quivira si eres maratonista! El desarrollo cuenta con senderos naturales y caminos privados para caminar y correr, con vistas espectaculares al mar y las montañas. El clima es muy favorable todo el año,...",descartar,respuesta_parcial_util
Punta Zero,2026-05-17,Zara,"No tengo información confirmada de que la tienda Zara esté presente en Punta Zero Centro Comercial. El listado actual de marcas y locales disponibles no menciona Zara entre las opciones.

Si quieres saber si hay planes p...",descartar,respuesta_negativa_catalogo_directorio
Punta Zero,2026-05-17,Adidas,"No tengo información confirmada de que Adidas tenga una tienda en Punta Zero Centro Comercial. El listado de marcas y locales disponibles actualmente no menciona Adidas.

Si buscas saber si próximamente abrirán una sucur...",descartar,respuesta_negativa_catalogo_directorio
Punta Zero,2026-05-23,Hay lugar para colocar las bicicletas ?,"No tengo información confirmada sobre un área específica para bicicletas en Punta Zero Centro Comercial. La plaza cuenta con estacionamiento en sótano, pero no se especifican racks o espacios exclusivos para bicicletas. ...",descartar,respuesta_parcial_util
Punta Zero,2026-05-31,A que hora cierran la tienda de artículos chinos,"No cuento con información confirmada sobre los horarios de cierre específicos de la tienda de artículos chinos dentro de Punta Zero Centro Comercial. Te recomiendo consultarlo directamente en el local o, si lo prefieres,...",descartar,dato_dinamico_comercial
Punta Zero,2026-06-02,Tienen locales disponibles en renta?,No tengo información confirmada sobre disponibilidad exacta de locales en renta en este momento. La oferta puede variar según la etapa comercial y la actualización de inventario. Te recomiendo validarlo directamente con ...,descartar,dato_dinamico_comercial
Torre Alhena,2026-05-12,Y precio,"No tengo esa información específica de precios por departamento en este momento.

Para esa información específica, te conecto con ventas, donde te pueden compartir lista actualizada, unidades disponibles y promociones:

...",descartar,dato_dinamico_comercial
Torre Alhena,2026-05-13,Cuánto cuestan los departamentos ,"No tengo esa información específica de precios por departamento.

Para esa información específica, te conecto con ventas. Puedes escribir o llamar a:

- WhatsApp: 5550075349  
- Mail: ventas@torrealhena.mx  

Si quieres,...",descartar,dato_dinamico_comercial
Torre Alhena,2026-05-15,Hola busco un departamento chico para dos personas adultas y un niño y q sea económico ,"Para una familia de dos adultos y un niño, te recomendaría un departamento de 2 recámaras en Torre Alhena. Hay opciones de 81.75 m² y 81.56 m², ambos con 2 recámaras, 2 baños y 1 cajón de estacionamiento. También existen...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-17,En cuanto está el departamento y como puedo entrar en l,"Actualmente no tengo información específica sobre el precio exacto de los departamentos en Torre Alhena. Los precios pueden variar según el tipo de departamento, nivel y disponibilidad, y están sujetos a actualización co...",descartar,dato_dinamico_comercial
Torre Alhena,2026-05-21,Cómo puedo hacer para tener un crédito ,No tengo información específica sobre créditos hipotecarios o financiamiento directo en Torre Alhena dentro del documento oficial. La información sobre opciones de crédito puede variar y depende de la etapa comercial y a...,descartar,dato_dinamico_comercial
Torre Alhena,2026-05-21,Y para un apoyo porque yo no tengo ni apoyo ya voy a cumplir 55 años ,"No tengo información específica sobre apoyos económicos o programas especiales para personas mayores de 55 años en Torre Alhena. Los planes de pago y descuentos dependen del anticipo y la forma de pago, pero no hay menci...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-21,En dónde se ubican y cuánto al mes,"Torre Alhena se ubica en Cto. Interior Melchor Ocampo 193, Verónica Anzúres, Miguel Hidalgo, Ciudad de México, CDMX.

Sobre el costo mensual: No tengo información específica sobre la renta mensual de los departamentos. L...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-22,Casa en renta por piletas 1 2 y 3seccion ,"No tengo información sobre casas en renta en Piletas 1, 2 y 3 Sección dentro del documento oficial de Torre Alhena. Torre Alhena es un desarrollo de departamentos en la zona de Verónica Anzúres, CDMX, y no aparecen casas...",mantener_brecha,brecha_accionable
Torre Alhena,2026-05-22,Departamentos amueblados en renta ,"Por el momento, no tengo información confirmada sobre departamentos amueblados en renta en Torre Alhena. Toda la información disponible corresponde a departamentos en venta y sus características, pero no se menciona rent...",mantener_brecha,brecha_accionable
Torre Alhena,2026-05-23,Precio,"No tengo información específica de precios en el documento oficial. Los precios pueden variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor.

Si quieres, puedes contac...",descartar,dato_dinamico_comercial
Torre Alhena,2026-05-23,Zapopan Jalisco ,"Torre Alhena no se encuentra en Zapopan, Jalisco. El desarrollo está ubicado en Ciudad de México, específicamente en Cto. Interior Melchor Ocampo 193, Verónica Anzúres, Miguel Hidalgo.

Si buscas opciones en Zapopan, no ...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-23,Renta de un departamento barato ,"Actualmente no tengo información específica sobre precios de renta ni disponibilidad exacta para departamentos en Torre Alhena. Sin embargo, los departamentos más compactos son de 1 recámara, con superficies desde 61 m² ...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-25,La oferta,Actualmente no hay una oferta o promoción específica mencionada en el documento oficial para los departamentos de Torre Alhena. Los planes de pago disponibles ofrecen descuentos que van del 0% al 12% dependiendo del anti...,descartar,respuesta_parcial_util
Torre Alhena,2026-05-28,Los mochis,"No tengo información sobre ""Los Mochis"" relacionada con Torre Alhena. Si buscas detalles sobre el desarrollo, departamentos, amenidades o ubicación, Torre Alhena está en Ciudad de México, no en Los Mochis.

Si necesitas ...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-30,Busco renta de 4500 ,"No tengo información específica sobre departamentos en renta en Torre Alhena por $4,500. La información disponible es sobre venta de departamentos y sus características, pero no se menciona renta ni precios de renta.

Si...",mantener_brecha,brecha_accionable
Torre Alhena,2026-05-30,Tienen en taciba,"No tengo información sobre ""Taciba"" en el documento oficial de Torre Alhena. Si buscas departamentos en Torre Alhena, la ubicación es Cto. Interior Melchor Ocampo 193, Verónica Anzúres, Miguel Hidalgo, CDMX.

Si necesita...",mantener_brecha,brecha_accionable
Torre Alhena,2026-05-30,Taciba,"No tengo información sobre ""Taciba"" como ubicación, desarrollo o amenidad dentro de Torre Alhena. El proyecto Torre Alhena está ubicado en Cto. Interior Melchor Ocampo 193, Verónica Anzúres, Miguel Hidalgo, CDMX.

Si bus...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-30,Rentas en Iztapalapa ,"No tengo información sobre rentas en Iztapalapa para Torre Alhena. El desarrollo Torre Alhena está ubicado en la zona de Verónica Anzures, Miguel Hidalgo, CDMX.

Si buscas opciones de renta en Iztapalapa, te recomiendo c...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-30,Costos,"No tengo información específica sobre los costos exactos de los departamentos en Torre Alhena. Los precios pueden variar según el tipo de departamento, nivel y disponibilidad, y están sujetos a actualización comercial.

...",descartar,dato_dinamico_comercial
Torre Alhena,2026-05-31,Costo,"No tengo información específica de precios en el documento oficial. Los departamentos en Torre Alhena tienen diferentes tamaños y distribuciones, pero para conocer el costo exacto de cada tipo, te recomiendo contactar di...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-31,Cómo puedo acceder ala compra pagando como renta ,"No tengo información específica sobre un esquema de compra ""pagando como renta"" en Torre Alhena. Los planes de pago que aparecen en el documento son tradicionales, con anticipos, mensualidades y finiquito, pero no mencio...",mantener_brecha,brecha_accionable
Torre Alhena,2026-05-31,Tiene departamento en renta en Atizapan?,"No tengo información de departamentos en renta en Atizapán para Torre Alhena. El desarrollo está ubicado en la colonia Verónica Anzúres, Miguel Hidalgo, CDMX.

Si buscas opciones en Atizapán o renta, te sugiero contactar...",descartar,respuesta_parcial_util
Torre Alhena,2026-05-31,Sin enganche y a mensualidades ,"No tengo información confirmada sobre un esquema sin enganche y a mensualidades en Torre Alhena. Los planes de pago oficiales requieren un anticipo mínimo del 10%.

Si buscas opciones personalizadas o deseas validar si h...",mantener_brecha,brecha_accionable
Torre Alhena,2026-06-01,cuándo inician la construcción?,No tengo información específica sobre la fecha exacta de inicio de la construcción de Torre Alhena. La información oficial solo menciona que la entrega de los departamentos está prevista para el segundo semestre de 2028....,mantener_brecha,brecha_accionable
Torre Alhena,2026-06-01,Un departamento de dos recámaras en Azcapotzalco ,"En Torre Alhena, los departamentos de 2 recámaras cuentan con las siguientes opciones:

- Tipo 05: 81.75 m² totales, 2 baños, 1 cajón de estacionamiento.
- Tipo 06: 81.56 m² totales, 2 baños, 1 cajón de estacionamiento.
...",descartar,respuesta_parcial_util
Torre Alhena,2026-06-03,Esquina con qué calle ,"No tengo información específica sobre la calle con la que hace esquina Torre Alhena. Si necesitas ese dato exacto, te sugiero contactar directamente al equipo de ventas por WhatsApp al 5550075349 o al correo ventas@torre...",descartar,captura_contacto_no_brecha
Torre Alhena,2026-06-03,Tienen depa muestra,No tengo información confirmada sobre la existencia de un departamento muestra en Torre Alhena. Te sugiero contactar directamente al equipo de ventas por WhatsApp al 5550075349 o al correo ventas@torrealhena.mx para que ...,descartar,captura_contacto_no_brecha
