project,risk_band,risk_score,label,model,temp,temp_risk,tool_count,has_info_get,has_web_search,tool_names,memory_type,window_size,memory_risk,anti_hal_count,anti_hal_markers,forbidden_count,forbidden_markers,lang_rule_count,sys_prompt_len,has_condition,n_guards,n_sales,n_nodes,n_edges,chatflow_id
CRM AI,MED,55,Agente Disponibilidad,gpt-5.2,0.3,MED,1,True,False,info_disponibilidad,allMessages,(none),MED,0,,0,,2,0,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
CRM AI,MED,55,Agente cotizacion,gpt-5.2,0.3,MED,6,True,False,"info_unidades_cotizar, info_planes_pago, customTool, customTool, customTool, customTool",allMessages,(none),MED,0,,0,,2,0,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
CRM AI,MED,55,Agente Reportes,gpt-5.2,0.5,MED,5,True,False,"customTool, customTool, customTool, info_unidades_reportes, customTool",allMessages,(none),MED,0,,0,,2,0,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
CRM AI,MED,55,Agente general,gpt-5.2,0.5,MED,6,True,False,"customTool, customTool, customTool, info_disponibilidad, info_get, customTool",allMessages,(none),MED,0,,0,,2,7858,True,0,1,7,6,f1008f5a-6846-4861-93be-483158041dcf
Novotech - Silao,LOW,25,Novotech Silao Multilingual Q&A,gpt-5.2,0.1,LOW,2,False,False,"Novotech_Silao_data_retriever, disponibilidad_lotes_checker",windowSize,20,LOW,0,,3,STRICTLY FORBIDDEN PHRASES; nunca reveles que; never reveal you are consulting,2,8511,False,0,0,2,1,915db78f-f8d8-4754-a963-f82d9bde87af
Novotech La Paz,LOW,25,Novotech La Paz Multilingual Q&A,gpt-5.2,0.1,LOW,2,False,False,"Novotech_La_Paz_data_retriever, disponibilidad_lotes_checker",windowSize,20,LOW,0,,1,nunca reveles que,0,8048,False,0,0,2,1,526a971a-9f0e-40dc-bd90-f50205233071
Novotech Mision Punta Norte,LOW,25,Misión Punta Norte Multilingual Q&A,gpt-5.2,0.1,LOW,6,False,False,"MPN_data_retriever, disponibilidad_loreto, disponibilidad_del_pilar, disponibilidad_california, disponibilidad_san_ignacio, disponibilidad_todos_santos",windowSize,20,LOW,0,,1,nunca reveles que,0,6131,False,0,0,2,1,31d01ff6-a2d2-4035-8e5d-a481c89dff0b
Novotech SSEISO,LOW,25,Novotech SSEISO Multilingual Q&A,gpt-5.2,0.1,LOW,2,False,False,"Novotech_SSEISO_data_retriever, disponibilidad_lotes_checker",windowSize,20,LOW,0,,3,STRICTLY FORBIDDEN PHRASES; nunca reveles que; never reveal you are consulting,2,8472,False,0,0,2,1,8d2fd269-fe3e-4be3-85e6-3bf437dd0143
WTC,LOW,20,🏢 Agent Available Spaces WTC (Multilingual),gpt-5.2,0.2,LOW,0,False,False,,windowSize,20,LOW,1,manejo de incertidumbre,0,,0,2562,True,1,0,10,9,a2dbda66-1339-43ae-9c67-d97f30c198ac
LST La Santisima,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5085,True,1,1,6,5,80f70d3a-4e14-49cf-b743-7ca9dd841a70
LST Los Senderos,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5065,True,1,1,6,5,068df4e5-073c-45f0-996d-34dc4f886ec5
LST San Francisco,LOW,18,🛒 Amazon Shopping Assistant (Multilingual),gpt-5.2,0.1,LOW,0,False,False,,windowSize,(none),?,6,ANTI-ALUCINACIÓN; ANTI-INFERENCIA; información pendiente; information pending; fuente única; nunca uses conocimiento general,2,nunca reveles que; nunca reveles que estás consultando,1,5087,True,1,1,6,5,20ff6f90-c014-4b05-8207-6ab08a7da8e0
