Chatflow,Fecha,Agente,Pregunta,Respuesta,Herramientas,LineaCSV,Decision,Motivo
Anahuac Emocional,2026-05-14,-,Hola,"Hola. ¿En qué momento estás con lo de elegir carrera: apenas empezando a explorarlo, o ya tienes un par de opciones y te está costando decidir?",-,2,descartar_del_kpi,saludo_bienvenida
Anahuac Emocional,2026-06-09,-,Hola,"Hola. Si hoy pudieras salir de esta conversación con una sola cosa clara sobre tu futuro, ¿qué te gustaría que fuera?",-,3,descartar_del_kpi,saludo_bienvenida
Torre Zero Providencia,2026-05-14,-,Hola,¡Hola! ¿En qué puedo ayudarte hoy sobre Torre Zero Providencia?,-,4,descartar_del_kpi,saludo_bienvenida
Torre Zero Centro de Neogcios,2026-05-14,-,Hola,"¡Hola! ¿En qué puedo ayudarte hoy sobre Torre Zero Centro de Negocios? Si tienes alguna duda sobre el edificio, sus oficinas o los servicios que ofrece, dime y con gusto te ayudo.",-,5,descartar_del_kpi,saludo_bienvenida
plataformaNauma,2026-05-29,-,Test2905,"Hello! 👋 Bienvenido a Nauma Lomas. Soy tu asistente virtual para dudas sobre el proyecto.  

Cuéntame, ¿qué te gustaría saber de Nauma Lomas?",-,6,descartar_del_kpi,bienvenida_generica
Novotech Mision Punta Norte,2026-05-14,-,Hola,"Hola, ¡bienvenido a Misión Punta Norte!  
¿En qué te podemos ayudar: quieres información de los lotes, precios, formas de pago, o te interesa más la ubicación y cómo llegar?",-,7,descartar_del_kpi,saludo_bienvenida
Novotech La Paz,2026-05-14,-,Hola,"Hola, ¿cómo te ayudamos con Novotech La Paz?",-,8,descartar_del_kpi,saludo_bienvenida
Xerena,2026-05-12,-,English? ,"Hi there! 😊 I'm here to help you with everything about Xerena Cabo Tezal. From condo types and premium amenities to investment opportunities, payment plans, and life in Los Cabos — just let me know what you'd like to kn...",-,9,descartar_del_kpi,cambio_de_idioma
Xerena,2026-05-20,-,in English ,"Hi there! 😊 I'm here to help you with everything about Xerena Cabo Tezal. From condo types and premium amenities to investment opportunities, payment plans, and life in Los Cabos — just let me know what you'd like to kn...",-,10,descartar_del_kpi,cambio_de_idioma
Xerena,2026-05-20,-,cuando terminan los depas,No cuento con información confirmada sobre la fecha exacta de entrega o finalización de los departamentos en Xerena Cabo Tezal. La información sobre fechas de entrega puede variar dependiendo de la etapa del proyecto y e...,-,11,descartar_del_kpi,brecha_conocimiento_no_alucinacion
